Source,Target,Type,Id,Label,Weight
1,0,Undirected,398,,1
2,3,Undirected,399,,1
4,3,Undirected,400,,1
0,3,Undirected,401,,1
4,0,Undirected,402,,26
1,3,Undirected,403,,1
5,1,Undirected,404,,1
5,3,Undirected,405,,1
1,6,Undirected,406,,8
6,7,Undirected,407,,2
1,7,Undirected,408,,1
9,8,Undirected,409,,3
8,10,Undirected,410,,1
9,10,Undirected,411,,3
11,0,Undirected,412,,22
11,4,Undirected,413,,15
11,12,Undirected,414,,2
13,0,Undirected,415,,2
13,4,Undirected,416,,2
13,11,Undirected,417,,2
8,1,Undirected,418,,6
8,6,Undirected,419,,3
1,10,Undirected,420,,2
11,10,Undirected,421,,1
9,11,Undirected,422,,7
0,10,Undirected,423,,2
9,0,Undirected,424,,9
9,14,Undirected,425,,7
14,0,Undirected,426,,16
14,10,Undirected,427,,1
9,4,Undirected,428,,7
4,15,Undirected,429,,3
11,15,Undirected,430,,1
0,15,Undirected,431,,2
9,15,Undirected,432,,2
11,14,Undirected,433,,10
0,16,Undirected,434,,6
17,16,Undirected,435,,5
14,16,Undirected,436,,3
17,0,Undirected,437,,22
17,14,Undirected,438,,41
11,18,Undirected,439,,2
17,18,Undirected,440,,2
0,18,Undirected,441,,2
14,18,Undirected,442,,2
17,11,Undirected,443,,12
17,19,Undirected,444,,2
19,0,Undirected,445,,2
19,14,Undirected,446,,1
17,20,Undirected,447,,8
11,20,Undirected,448,,3
0,20,Undirected,449,,8
14,20,Undirected,450,,5
17,21,Undirected,451,,10
21,14,Undirected,452,,12
4,10,Undirected,453,,1
22,8,Undirected,454,,3
17,23,Undirected,455,,3
17,24,Undirected,456,,2
23,24,Undirected,457,,1
11,23,Undirected,458,,1
23,0,Undirected,459,,2
11,24,Undirected,460,,1
0,24,Undirected,461,,2
17,4,Undirected,462,,46
4,20,Undirected,463,,1
21,16,Undirected,464,,1
23,16,Undirected,465,,1
21,0,Undirected,466,,1
21,23,Undirected,467,,1
23,14,Undirected,468,,1
25,26,Undirected,469,,1
26,20,Undirected,470,,1
18,20,Undirected,471,,1
17,26,Undirected,472,,1
26,11,Undirected,473,,1
26,14,Undirected,474,,1
26,18,Undirected,475,,1
26,0,Undirected,476,,1
25,11,Undirected,477,,2
25,14,Undirected,478,,1
27,0,Undirected,479,,1
17,27,Undirected,480,,1
27,24,Undirected,481,,1
23,20,Undirected,482,,1
17,9,Undirected,483,,2
17,15,Undirected,484,,4
8,28,Undirected,485,,2
8,11,Undirected,486,,5
8,0,Undirected,487,,1
11,28,Undirected,488,,1
0,28,Undirected,489,,1
29,0,Undirected,490,,2
30,0,Undirected,491,,2
0,31,Undirected,492,,3
0,32,Undirected,493,,1
30,29,Undirected,494,,4
29,31,Undirected,495,,16
17,29,Undirected,496,,9
29,32,Undirected,497,,1
30,31,Undirected,498,,4
17,30,Undirected,499,,2
30,32,Undirected,500,,1
17,31,Undirected,501,,9
32,31,Undirected,502,,1
17,32,Undirected,503,,1
33,8,Undirected,504,,6
33,28,Undirected,505,,1
4,31,Undirected,506,,20
29,4,Undirected,507,,9
30,4,Undirected,508,,1
13,14,Undirected,509,,2
22,1,Undirected,510,,3
17,13,Undirected,511,,1
13,9,Undirected,512,,1
4,14,Undirected,513,,9
8,34,Undirected,514,,1
34,1,Undirected,515,,1
22,34,Undirected,516,,1
22,6,Undirected,517,,1
35,15,Undirected,518,,4
17,35,Undirected,519,,2
34,11,Undirected,520,,1
1,14,Undirected,521,,2
5,7,Undirected,522,,1
36,35,Undirected,523,,2
36,15,Undirected,524,,2
17,36,Undirected,525,,1
